Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
1384,NIEPUBLICZNA SZKOŁA PODSTAWOWA WARSAW MONTESSORI SCHOOL,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Szwoleżerów,4,,00-467,21.04268065188839,52.2165504,niepubliczna,153.0,,,
1385,MAZOWIECKIE CENTRUM ROZWOJU ZAWODOWEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Stawki,10,,00-193,20.989121505720128,52.25263865,niepubliczna,,,,
1387,KURS SIKORY,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Hoża,88,,00-682,21.005821268594715,52.22452915,niepubliczna,,,,
1388,SZKOŁA PODSTAWOWA NR 75 IM. MARII KONOPNICKIEJ,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Niecała,14,,00-098,21.007056555923405,52.2421294,publiczna,598.0,,,
1391,PRZEDSZKOLE POLITECHNIKI WARSZAWSKIEJ BOBOTECHNIKA,Przedszkole,Unused,Unclassified,Śródmieście,ul. Ludwika Waryńskiego,8,,00-631,21.016896920409426,52.21491445,niepubliczna,56.0,,,
1392,PRZEDSZKOLE NR 31 IM. ZDZISŁAWA WITWICKIEGO,Przedszkole,Unused,Unclassified,Śródmieście,ul. Krucza,19,,00-525,21.01821475,52.2262545,publiczna,99.0,,,
1393,PRYWATNA MĘSKA SZKOŁA PODSTAWOWA IM. CECYLII PLATER-ZYBERKÓWNY,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Piękna,24,26,00-549,21.1876874,52.2474018,niepubliczna,93.0,,,
1396,NIEPUBLICZNE TECHNIKUM USŁUGOWE ZAKŁADU DOSKONALENIA ZAWODOWEGO,Technikum,Ordinary,Middle,Śródmieście,ul. Podwale,13,,00-252,21.00980490287856,52.24836105,niepubliczna,159.0,,,
1397,CENTRUM KSZTAŁCENIA I DOSKONALENIA KADR ENIGMA PRZY CENTRUM KSZTAŁCENIA I DOSKONALENIA KADR SP. Z O.O.,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,al. Aleja Armii Ludowej,6,164,00-571,21.02123076691801,52.2186415,niepubliczna,,,,
1399,PRZEDSZKOLE NR 3,Przedszkole,Unused,Unclassified,Śródmieście,ul. Grzybowska,7,,00-132,21.000107515775248,52.23635529999999,publiczna,38.0,,,
1403,"PRZEDSZKOLE NR 30 ""ZIELONA ŁÓDECZKA",Przedszkole,Unused,Unclassified,Śródmieście,ul. Rozbrat,10/14,,00-451,21.035562280164186,52.22317329999999,publiczna,53.0,,,
1404,"PRZEDSZKOLE NR 17 ""KÓŁKO GRANIASTE",Przedszkole,Unused,Unclassified,Śródmieście,pl. Plac Jana Henryka Dąbrowskiego,10,,00-055,21.00890305,52.23807595,publiczna,97.0,,,
1405,BRANŻOWA SZKOŁA I STOPNIA SPECJALNA NR 50,Branżowa szkoła I stopnia,Ordinary,Middle,Śródmieście,pl. Trzech Krzyży,4/6,,00-499,21.023999749474854,52.2285099,publiczna,12.0,,,
1406,PRZEDSZKOLE NR 9,Przedszkole,Unused,Unclassified,Śródmieście,ul. Dzielna,5a,,00-162,20.99460701236333,52.24657360000001,publiczna,84.0,,,
1407,POLSKI INSTYTUT JĘZYKOWY,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Mazowiecka,12,24,00-048,20.97739751216679,52.25275985,niepubliczna,,,,
1408,TECHNIKUM ELEKTRYCZNO-ELEKTRONICZNE NR 1,Technikum,Ordinary,Middle,Śródmieście,ul. Emiliana Konopczyńskiego,4,,00-335,21.02142033994024,52.2372708,publiczna,79.0,62.05,128.8,90.48
1409,AKADEMIA RACHUNKOWOŚCI COMPARTNERS,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Nowogrodzka,50,124,00-695,21.00745974336102,52.2279333,niepubliczna,,,,
1410,SZKOŁA PODSTAWOWA NR 211 Z ODDZIAŁAMI INTEGRACYJNYMI IM. JANUSZA KORCZAKA,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Nowy Świat,21a,,00-029,21.01843236626961,52.23210325,publiczna,639.0,,,
1411,STUDIUM POLSKIEGO TOWARZYSTWA WYDAWCÓW KSIĄŻEK,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Świętokrzyska,30,156,00-116,21.0045991,52.2346928,niepubliczna,,,,
1412,PRZEDSZKOLE NR 12,Przedszkole,Unused,Unclassified,Śródmieście,ul. Niska,9,,00-176,20.98803394894636,52.25101365,publiczna,97.0,,,
1413,"LICEUM OGÓLNOKSZTAŁCĄCE ""MULTIMEDIA",Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,pl. Plac Defilad,1,,00-901,21.00579967561612,52.2317641,niepubliczna,13.0,,,
1414,TECHNIKUM SPECJALNE NR 28,Technikum,Ordinary,Middle,Śródmieście,pl. Trzech Krzyży,4/6,,00-499,21.023999749474854,52.2285099,publiczna,15.0,,,
1415,TECHNIKUM POLIGRAFICZNE,Technikum,Ordinary,Middle,Śródmieście,ul. Stawki,14,,00-178,20.986824243947144,52.25202115,publiczna,617.0,73.64000000000001,141.93,103.35
1416,CENTRUM EDUKACYJNE W&W,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Cicha,7,,00-353,21.023989802539496,52.2377947,niepubliczna,,,,
1418,TECHNIKUM BUDOWNICTWA I ARCHITEKTURY NR 1 IM. PROF. ZDZISŁAWA MĄCZEŃSKIEGO,Technikum,Ordinary,Middle,Śródmieście,ul. Górnośląska,31,,00-432,21.034025549644607,52.2244206,publiczna,483.0,69.86666666666666,138.82500000000002,101.94333333333331
1419,SME TRAINING,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Nowogrodzka,23,,00-511,21.0149001,52.22921,niepubliczna,,,,
1420,BEAUTY-ART SZKOŁA WIZAŻU I STYLIZACJI,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Zgoda,13,,00-012,21.010839472899814,52.23342080000001,niepubliczna,,,,
1422,SZKOŁA PODSTAWOWA NR 29 IM.GIUSEPPE GARIBALDIEGO,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Fabryczna,19,,00-446,21.038050287460752,52.22411895000001,publiczna,387.0,,,
1425,PRZEDSZKOLA POMARAŃCZOWA CIUCHCIA SP. Z O.O. SPÓŁKA KOMANDYTOWA,Przedszkole,Unused,Unclassified,Śródmieście,rondo Rondo Organizacji Narodów Zjednoczonych,1,,00-124,20.9986749,52.2328113,niepubliczna,51.0,,,
1426,NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO BEZPIECZNE MAZOWSZE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Warecka,9,55,00-034,21.0160435,52.2347104,niepubliczna,,,,
1428,LIFESKILLS,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Emilii Plater,29,,00-688,21.00545660385133,52.22644785,niepubliczna,,,,
1430,"PRZEDSZKOLE NR 82 ""KOLOROWE KREDKI",Przedszkole,Unused,Unclassified,Śródmieście,ul. Natolińska,2,,00-568,21.02043225204637,52.22077585,publiczna,95.0,,,
1433,CXXIV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,pl. Trzech Krzyży,4/6,,00-499,21.023999749474854,52.2285099,publiczna,4.0,,,
1435,PAŃSTWOWA SZKOŁA MUZYCZNA II ST. NR 2 IM. FRYDERYKA CHOPINA W WARSZAWIE,Szkoła muzyczna II stopnia,Unused,Unclassified,Śródmieście,ul. Bednarska,11,,00-310,21.0186148,52.2449825,publiczna,386.0,,,
1436,PRZEDSZKOLE NR 26,Przedszkole,Unused,Unclassified,Śródmieście,ul. Nowowiejska,1/3,,00-643,21.01667419829572,52.2197437,publiczna,66.0,,,
1438,PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. CECYLII PLATER-ZYBERKÓWNY,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Piękna,24,26,00-549,21.1876874,52.2474018,niepubliczna,64.0,,,
1439,"NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO ""PROGRES",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Smolna,13,,00-375,21.0237428,52.2328518,niepubliczna,,,,
1440,SZKOŁA PODSTAWOWA SPECJALNA NR 213 IM. IRENY SENDLEROWEJ,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Elektoralna,12/14,,00-139,20.997879388462945,52.2409777,publiczna,162.0,,,
1442,CENTRUM EDUKACYJNO-SZKOLENIOWE CMG,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Bracka,18,61,00-028,21.0173498,52.2316446,niepubliczna,,,,
1443,KRAJOWE CENTRUM EDUKACJI ARCHIWALNEJ STOWARZYSZENIA ARCHIWISTÓW POLSKICH,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Bonifraterska,6,21,00-213,21.0032723,52.2512121,niepubliczna,,,,
1444,CENTRUM KSZTAŁCENIA KADR ZWIĄZKU ZAKŁADÓW DOSKONALENIA ZAWODOWEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Podwale,17,,00-252,21.009525450170127,52.24863605,niepubliczna,,,,
1445,CENTRALNY OŚRODEK SZKOLENIA ZARZĄDU KRAJOWEGO STOWARZYSZENIA INŻYNIERÓW I TECHNIKÓW KOMUNIKACJI RP W WARSZAWIE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Tadeusza Czackiego,3,5,00-043,21.0149805,52.23696470000001,niepubliczna,,,,
1446,TECHNIKUM ANALITYKI,Technikum,Ordinary,Middle,Śródmieście,ul. Karmelicka,9,,00-155,20.9931953,52.24589,niepubliczna,0.0,,,
1447,PRZEDSZKOLE NR 42,Przedszkole,Unused,Unclassified,Śródmieście,ul. Agrykola,9,,00-460,21.03913368148942,52.2140543,publiczna,66.0,,,
1449,FRDL PODKARPACKI OŚRODEK SAMORZĄDU TERYTORIALNEGO PLACÓWKA KSZTAŁCENIA USTAWICZNEGO DLA DOROSŁYCH W RZESZOWIE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Żurawia,43,,00-680,21.01193833031073,52.2275114,niepubliczna,,,,
1450,"PRZEDSZKOLE NR 16 ""ZACZAROWANY ZAKĄTEK",Przedszkole,Unused,Unclassified,Śródmieście,ul. Wojciecha Górskiego,5a,,00-033,21.01627334308455,52.2333249,publiczna,80.0,,,
1451,PRZEDSZKOLE NR 35,Przedszkole,Unused,Unclassified,Śródmieście,ul. Wojciecha Górskiego,1,,00-033,21.017590252155554,52.23363055,publiczna,56.0,,,
1454,AKADEMIA OSTEOPATII NIEPUBLICZNA PLACOWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,rondo Rondo Organizacji Narodów Zjednoczonych,1,,00-124,20.9986749,52.2328113,niepubliczna,,,,
1456,SCHOOL OF LAW KANCELARIA KUBACKI,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Dobra,56,66,00-312,21.0250259928793,52.2426704,niepubliczna,,,,
1457,PRZEDSZKOLE NR 5,Przedszkole,Unused,Unclassified,Śródmieście,ul. Okrąg,6b,,00-407,21.037349711131387,52.230907,publiczna,65.0,,,
1458,PLACÓWKA KSZTAŁCENIA USTAWICZNEGO GOWORK.PL,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Żurawia,47/49,,00-680,21.011270827599198,52.22716665,niepubliczna,,,,
1461,CENTRUM KSZTAŁCENIA USTAWICZNEGO PZITS O/W,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Tadeusza Czackiego,3/5,136,00-043,21.0149805,52.23696470000001,niepubliczna,,,,
1462,PRZEDSZKOLE NIEPUBLICZNE ZGROMADZENIA SIÓSTR URSZULANEK SJK IM. ŚW. URSZULI LEDÓCHOWSKIEJ,Przedszkole,Unused,Unclassified,Śródmieście,ul. Wiślana,2,,00-317,21.02365009423086,52.242455250000006,niepubliczna,68.0,,,
1463,JPB CENTRUM KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Żurawia,6/12,413,00-513,21.0183974,52.2291629,niepubliczna,,,,
1465,"PRZEDSZKOLE NR 36 ""ODKRYWCY NOWEGO ŚWIATA",Przedszkole,Unused,Unclassified,Śródmieście,ul. Nowy Świat,41a,,00-042,21.0178468,52.2343881,publiczna,87.0,,,
1466,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Hoża,88,,00-682,21.005821268594715,52.22452915,publiczna,1104.0,171.81666666666663,191.65833333333333,177.67499999999995
1468,SZKOŁA PODSTAWOWA SPECJALNA Z ODDZIAŁAMI PRZEDSZKOLNYMI NR 226,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,pl. Trzech Krzyży,4/6,,00-499,21.023999749474854,52.2285099,publiczna,146.0,,,
1469,WARSZAWSKIE KOLEGIUM DOSKONALENIA KADR,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Żurawia,47,28,00-519,21.011344,52.2274948,niepubliczna,,,,
1471,SZKOŁA PODSTAWOWA SPECJALNA NR 196,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Twarda,8/12,,00-105,21.000495011316183,52.23507115,publiczna,76.0,,,
1472,SZKOŁA PODSTAWOWA NR 34 IM. STANISŁAWA DUBOIS,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Leona Kruczkowskiego,12b,,00-380,21.02828315726159,52.23607205,publiczna,379.0,,,
1473,XXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA GROTA-ROWECKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Stawki,10,,00-193,20.989121505720128,52.25263865,publiczna,81.0,79.6,131.65,99.86
1474,CXXXVI LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Koźmińska,7,,00-448,21.037025318041785,52.224714,publiczna,16.0,,,
1475,LXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA NOWAKA-JEZIORAŃSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Hoża,11/15,,00-528,21.019397264809925,52.22714855,publiczna,511.0,161.85,181.05,167.82
1478,PRZEDSZKOLE SPECJALNE NR 343,Przedszkole,Unused,Unclassified,Śródmieście,ul. Twarda,8/12,,00-105,21.000495011316183,52.23507115,publiczna,25.0,,,
1479,LICEUM OGÓLNOKSZTAŁCĄCE LIFESKILLS NR 1,Liceum ogólnokształcące,Ordinary,Middle,Śródmieście,ul. Miodowa,22D,,00-246,21.0082128940964,52.24887495,niepubliczna,65.0,,,
1481,OŚRODEK SZKOLEŃ I EKSPERTYZ OW SIMP,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Tadeusza Czackiego,3,5,00-042,21.0149805,52.23696470000001,niepubliczna,,,,
1482,PRZEDSZKOLE NR 19,Przedszkole,Unused,Unclassified,Śródmieście,ul. Jana i Jędrzeja Śniadeckich,12,,00-656,21.01366121354555,52.22148095,publiczna,63.0,,,
1483,TECHNIKUM EKONOMICZNE NR 1 IM. MIKOŁAJA KOPERNIKA,Technikum,Ordinary,Middle,Śródmieście,ul. Stawki,10,,00-193,20.989121505720128,52.25263865,publiczna,777.0,55.86666666666667,174.36666666666667,117.56333333333332
1485,EUROFINANCE TRAINING,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Tytusa Chałubińskiego,8,,00-613,21.004196599298695,52.2259533,niepubliczna,,,,
1486,SZKOŁA PODSTAWOWA SPECJALNA NR 51,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Koźmińska,7,,00-448,21.037025318041785,52.224714,publiczna,89.0,,,
1489,"PRZEDSZKOLE NR 41 ""WIŚLANA KROPELKA",Przedszkole,Unused,Unclassified,Śródmieście,ul. Leona Kruczkowskiego,12b,,00-380,21.02828315726159,52.23607205,publiczna,98.0,,,
1490,PRYWATNA ŻEŃSKA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. CECYLII PLATER-ZYBERKÓWNY,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,ul. Piękna,24/26,,00-549,21.0181153,52.2238701,niepubliczna,140.0,,,
1491,BRANŻOWA SZKOŁA I STOPNIA SPECJALNA NR 62,Branżowa szkoła I stopnia,Ordinary,Middle,Śródmieście,ul. Koźmińska,7,,00-448,21.037025318041785,52.224714,publiczna,16.0,,,
1492,PRYWATNE PRZEDSZKOLE IM. CECYLII PLATER-ZYBERKÓWNY,Przedszkole,Unused,Unclassified,Śródmieście,ul. Piękna,24,26,00-549,21.1876874,52.2474018,niepubliczna,8.0,,,
1496,SZKOŁA PODSTAWOWA BULLERBYN,Szkoła podstawowa,Ordinary,Elementary,Śródmieście,al. Aleja Wyzwolenia,7,,00-572,21.0221619,52.2194013,niepubliczna,42.0,,,
1498,AKADEMIA SZYBKIEJ NAUKI TADEUSZ BUZAREWICZ,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Nowogrodzka,49,,00-695,21.007441747148217,52.22751270000001,niepubliczna,,,,
1499,PLACÓWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Karmelicka,9,,00-155,20.9931953,52.24589,niepubliczna,,,,
1500,ARTHUR MURRAY DANCE STUDIO WARSAW,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Śródmieście,ul. Emilii Plater,10,PU3,00-669,21.008688340609844,52.22403055,niepubliczna,,,,
1501,TECHNIKA I BEZPIECZEŃSTWO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Spójni,37,,03-604,21.062357275309648,52.284512,niepubliczna,,,,
1502,"PRZEDSZKOLE NR 157 ""PRZEDSZKOLE Z SERDUSZKIEM",Przedszkole,Unused,Unclassified,Targówek,ul. Bazyliańska,10,,03-203,21.022032350000003,52.29160655,publiczna,127.0,,,
1503,PRZEDSZKOLE NR 81,Przedszkole,Unused,Unclassified,Targówek,ul. Barkocińska,19/21,,03-543,21.054713950000004,52.2689263,publiczna,97.0,,,
1504,TĘCZOWE PRZEDSZKOLE,Przedszkole,Unused,Unclassified,Targówek,ul. Motycka,17,,03-566,21.04643155,52.2752865,niepubliczna,39.0,,,
1506,"NIEPUBLICZNE PRZEDSZKOLE ""KOLOROWY BALONIK",Przedszkole,Unused,Unclassified,Targówek,ul. św. Wincentego,130,54,03-291,21.056385910482106,52.2970818,niepubliczna,43.0,,,
1507,"PRZEDSZKOLE NR 125 ""POD ZŁOTYM PROMYKIEM",Przedszkole,Unused,Unclassified,Targówek,ul. Suwalska,15,,03-252,21.03088260376629,52.29561095,publiczna,149.0,,,
1508,CENTRUM KWALIFIKACJI ZAWODOWYCH ZACISZE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Radzymińska,242,,03-674,21.07439345711776,52.2851232,niepubliczna,,,,
1509,TERAPEUTYCZNY PUNKT PRZEDSZKOLNY LOGOS,Punkt przedszkolny,Unused,Unclassified,Targówek,ul. św. Wincentego,114,u5,03-921,21.0516982,52.291315,niepubliczna,10.0,,,
1510,"NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE ARTYSTYCZNO-JĘZYKOWE ""BYSTRZAKI",Przedszkole,Unused,Unclassified,Targówek,ul. Poborzańska,8,,03-368,21.0312384,52.2904507,niepubliczna,29.0,,,
1511,SEKA.EDU SP. Z O.O.,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Zabraniecka,80,,03-787,21.0689936,52.2608333,niepubliczna,,,,
1512,PRZEDSZKOLE NR 90,Przedszkole,Unused,Unclassified,Targówek,ul. Turmoncka,7,,03-254,21.0303403,52.29744675000001,publiczna,123.0,,,
1513,PRZEDSZKOLE NIEPUBLICZNE AMO 81,Przedszkole,Unused,Unclassified,Targówek,ul. Złotopolska,1,81,03-567,21.051292882916673,52.2746143,niepubliczna,128.0,,,
1515,NIEPUBLICZNE PRZEDSZKOLA CIUCHCIA PUCH PUCH AGATA WAWER,Przedszkole,Unused,Unclassified,Targówek,ul. Władysława Łokietka,7,,03-586,21.05996992007168,52.2788351,niepubliczna,37.0,,,
1517,AD SECURITY OŚRODEK KSZTAŁCENIA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Tarnogórska,16,,03-679,21.0740538,52.27944005000001,niepubliczna,,,,
1518,XIII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI  IM. PŁK. LEOPOLDA LISA-KULI,Liceum ogólnokształcące,Ordinary,Middle,Targówek,ul. Oszmiańska,23,25,03-503,21.042006852080764,52.2686466,publiczna,913.0,134.92142857142858,168.13571428571433,147.02571428571432
1519,NIEPUBLICZNE PRZEDSZKOLE ZGROMADZENIA SS POCIESZYCIELEK NAJŚWIĘTSZEGO SERCA JEZUSOWEGO,Przedszkole,Unused,Unclassified,Targówek,ul. Władysława Syrokomli,23,,03-335,21.02815944809401,52.28489295,niepubliczna,11.0,,,
1520,"PRZEDSZKOLE NR 155 ""ROZTAŃCZONA KRAINA",Przedszkole,Unused,Unclassified,Targówek,ul. Bartnicza,6,,03-358,21.027685797944386,52.2871563,publiczna,117.0,,,
1522,ZIELONE PRZEDSZKOLE W FOLWARKU,Przedszkole,Unused,Unclassified,Targówek,ul. św. Wincentego,92,,03-291,21.048491,52.288297,niepubliczna,118.0,,,
1523,SZKOŁA PODSTAWOWA NR 378 IM. IGNACEGO JANA PADEREWSKIEGO W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Targówek,ul. Bartnicza,8,,03-358,21.029605037753424,52.28747915,publiczna,522.0,,,
1524,NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 38 Z ODDZIAŁAMI INTEGRACYJNYMI IM. IRENY SENDLEROWEJ,Szkoła podstawowa,Ordinary,Elementary,Targówek,ul. Skrajna,10,,03-209,21.02057665096489,52.2940454,niepubliczna,101.0,,,
1525,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,Liceum ogólnokształcące,Ordinary,Middle,Targówek,ul. Olgierda,35,41,03-536,21.0451951,52.2723079,publiczna,606.0,116.98,179.72799999999995,152.796
1526,NIEPUBLICZNE PRZEDSZKOLA CIUCHCIA PUCH PUCH AGATA WAWER,Przedszkole,Unused,Unclassified,Targówek,ul. Uranowa,24,,03-586,21.059743850000004,52.27863305,niepubliczna,51.0,,,
1527,PRZEDSZKOLE NR 91 „ZACZAROWANY OGRÓD”,Przedszkole,Unused,Unclassified,Targówek,ul. Suwalska,34,,03-252,21.03874575,52.29443785,publiczna,141.0,,,
1528,PRZEDSZKOLE NR 156,Przedszkole,Unused,Unclassified,Targówek,ul. Żuromińska,2a,,03-341,21.0431923,52.28653015,publiczna,145.0,,,
1529,"PRZEDSZKOLE NIEPUBLICZNE ""MARZENIA DO SPEŁNIENIA",Przedszkole,Unused,Unclassified,Targówek,ul. Wierna,24,U6U7u8,03-890,21.08281973776512,52.2760095,niepubliczna,27.0,,,
1530,"SZKOŁA PODSTAWOWA NR 377 IM. MAJORA HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W WARSZAWIE",Szkoła podstawowa,Ordinary,Elementary,Targówek,ul. Trocka,4,,03-563,21.0601279,52.2750169,publiczna,454.0,,,
1531,"PRZEDSZKOLE NR 150 ""PRZYSTANEK UŚMIECH",Przedszkole,Unused,Unclassified,Targówek,ul. Prałatowska,12,,03-510,21.04943769826689,52.2707801,publiczna,124.0,,,
1533,PRZEDSZKOLE NR 103,Przedszkole,Unused,Unclassified,Targówek,ul. Mokra,25,,03-562,21.05894837146397,52.27308335,publiczna,196.0,,,
1536,SZKOŁA PODSTAWOWA NR 298 IM. JANA KASPROWICZA,Szkoła podstawowa,Ordinary,Elementary,Targówek,ul. Krakusa,2,,03-390,21.025839717839407,52.29164495,publiczna,712.0,,,
1538,XLVI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA CZARNIECKIEGO W WARSZAWIE,Liceum ogólnokształcące,Ordinary,Middle,Targówek,ul. Żuromińska,4,,03-341,21.044339783436,52.28683839999999,publiczna,851.0,119.38125,176.38750000000005,141.42375
1539,PRZEDSZKOLE NR 106,Przedszkole,Unused,Unclassified,Targówek,ul. Trocka,4,,03-563,21.0601279,52.2750169,publiczna,148.0,,,
1542,NIEPUBLICZNY TERAPEUTYCZNY PUNKT PRZEDSZKOLNY KIDS WORLD,Punkt przedszkolny,Unused,Unclassified,Targówek,ul. Tużycka,8,,03-683,21.074231538565133,52.2823229,niepubliczna,12.0,,,
1543,PRZEDSZKOLE NR 432,Przedszkole,Unused,Unclassified,Targówek,ul. Kuniecka,8,,03-522,21.04022781267605,52.2732015,publiczna,146.0,,,
1544,SEKA ODDZIAŁ W WARSZAWIE-PLACÓWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Zabraniecka,80,,03-787,21.0689936,52.2608333,niepubliczna,,,,
1545,PRZEDSZKOLE NIEPUBLICZNE BAJE I PSOTY,Przedszkole,Unused,Unclassified,Targówek,ul. Bukowiecka,37,,03-890,21.077256299999995,52.27371245000001,niepubliczna,13.0,,,
1546,"NIEPUBLICZNE PRZEDSZKOLE ""AKADEMIA KRASNOLUDKÓW",Przedszkole,Unused,Unclassified,Targówek,ul. Ignacego Łukasiewicza,4,,03-657,21.066914590083044,52.288914,niepubliczna,38.0,,,
1547,SZKOŁA PODSTAWOWA NR 380 IM. JANA PAWŁA II W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Targówek,ul. Krasiczyńska,4/6,,03-379,21.046313283045976,52.2946842,publiczna,686.0,,,
1548,INTEGRACYJNE PRZEDSZKOLE TUKAN,Przedszkole,Unused,Unclassified,Targówek,ul. Porannej Bryzy,19,,03-284,21.05461221444052,52.29008025,niepubliczna,35.0,,,
1549,PRZEDSZKOLE NR 88 „POD ZIELONYM LISTKIEM”,Przedszkole,Unused,Unclassified,Targówek,ul. Poborzańska,19,,03-368,21.024751249999994,52.289844650000006,publiczna,106.0,,,
1550,EUROPEJSKIE CENTRUM SPORTU,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Targówek,ul. Radzymińska,234,236,03-674,21.07402896541692,52.28465515,niepubliczna,,,,
