Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
723,NIEPUBLICZNE PRZEDSZKOLE JOY,Przedszkole,Unused,Unclassified,Mokotów,ul. Racławicka,124,,02-634,20.994180007613192,52.1973718,niepubliczna,34.0,,,
726,"PRZEDSZKOLE NR 108 ""TĘCZOWY PROMYK",Przedszkole,Unused,Unclassified,Mokotów,ul. Olszewska,7/9,,00-792,21.02277895988357,52.2090477,publiczna,100.0,,,
728,AKADEMIA DIAMOND PILATES,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Powsińska,106,,02-903,21.0574613,52.1928786,publiczna,,,,
729,NIEPUBLICZNE LICEUM WARSAW MONTESSORI HIGH SCHOOL,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Władysława Pytlasińskiego,1313A,,00-777,21.0303179,52.2016251,niepubliczna,63.0,,,
730,NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. MISSIO MUSICA W WARSZAWIE,Szkoła muzyczna I stopnia,Unused,Unclassified,Mokotów,ul. Podbipięty,2,,02-732,21.0288209,52.1742665,niepubliczna,52.0,,,
732,TECHNIKUM MECHATRONICZNE NR 1,Technikum,Ordinary,Middle,Mokotów,ul. Wiśniowa,56,,02-520,21.014138723888337,52.21020085,publiczna,680.0,158.36,186.265,168.87
733,"PUNKT PRZEDSZKOLNY ""BABY CITY",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Zielona,42a,,02-913,21.0660974,52.1859494,niepubliczna,0.0,,,
734,SZKOŁA PODSTAWOWA IM KOMISJI EDUKACJI NARODOWEJ,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Kielecka,43,,02-530,21.004477270582804,52.2059013,publiczna,154.0,,,
735,PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. EMILA MŁYNARSKIEGO W WARSZAWIE,Ogólnokształcąca szkoła muzyczna I stopnia,Special,Elementary,Mokotów,ul. Rakowiecka,21,,02-517,21.016093816476342,52.20855015,publiczna,191.0,,,
736,CXXI LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE W INSTYTUCIE PSYCHIATRII I NEUROLOGII,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Jana Sobieskiego,9,,02-957,21.062454995494267,52.17338270000001,publiczna,27.0,,,
737,SZKOŁA PODSTAWOWA SPECJALNA NR 251,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bełska,5,,02-638,20.99870275808553,52.19133025,publiczna,40.0,,,
738,SZKOŁA PODSTAWOWA NR 3 IM. DZIECI POWSTANIA WARSZAWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Gościniec,53,,00-704,21.073650144448184,52.21181215,publiczna,141.0,,,
739,LXXX LICEUM OGÓLNOKSZTAŁCĄCE IM. LEOPOLDA STAFFA,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Wiśniowa,56,,02-520,21.014138723888337,52.21020085,publiczna,273.0,135.35,173.85,147.78
