symbol,nazwa,typ
70,DZIAŁALNOŚĆ FIRM CENTRALNYCH (HEAD OFFICES); DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM,PKDMainDivision
71,DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE,PKDMainDivision
72,BADANIA NAUKOWE I PRACE ROZWOJOWE,PKDMainDivision
73,"REKLAMA, BADANIE RYNKU I OPINII PUBLICZNEJ",PKDMainDivision
74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",PKDMainDivision
75,DZIAŁALNOŚĆ WETERYNARYJNA,PKDMainDivision
N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,PKDMainSection
77,WYNAJEM I DZIERŻAWA,PKDMainDivision
78,DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM,PKDMainDivision
79,"DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, POŚREDNIKÓW I AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE",PKDMainDivision
80,DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA,PKDMainDivision
81,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI,PKDMainDivision
82,DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ,PKDMainDivision
O,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,PKDMainSection
84,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE,PKDMainDivision
P,EDUKACJA,PKDMainSection
85,EDUKACJA,PKDMainDivision
Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,PKDMainSection
86,OPIEKA ZDROWOTNA,PKDMainDivision
87,POMOC SPOŁECZNA Z ZAKWATEROWANIEM,PKDMainDivision
88,POMOC SPOŁECZNA BEZ ZAKWATEROWANIA,PKDMainDivision
R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",PKDMainSection
90,DZIAŁALNOŚĆ TWÓRCZA ZWIĄZANA Z KULTURĄ I ROZRYWKĄ,PKDMainDivision
91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ",PKDMainDivision
92,DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI,PKDMainDivision
93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA",PKDMainDivision
S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,PKDMainSection
94,DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH,PKDMainDivision
95,NAPRAWA I KONSERWACJA KOMPUTERÓW I ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO,PKDMainDivision
96,POZOSTAŁA INDYWIDUALNA DZIAŁALNOŚĆ USŁUGOWA,PKDMainDivision
T,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW; GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY,PKDMainSection
97,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW,PKDMainDivision
98,GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY,PKDMainDivision
U,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,PKDMainSection
99,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,PKDMainDivision
